The test Top1-0.730000, Top3-0.890000, Top5-0.950000
Sample 1: [175   1 154  59  17], Top-1 0, Top-5 1
Sample 2: [  2 150  58 106 127], Top-1 1, Top-5 1
Sample 3: [  3 171 105  16 194], Top-1 1, Top-5 1
Sample 4: [  4  42 105 170 171], Top-1 1, Top-5 1
Sample 5: [ 26 200 170  44  35], Top-1 0, Top-5 0
Sample 6: [  6 170  44  42 171], Top-1 1, Top-5 1
Sample 7: [158   7 147  65 126], Top-1 0, Top-5 1
Sample 8: [ 8 73 21 71 41], Top-1 1, Top-5 1
Sample 9: [ 41   9  76 127  62], Top-1 0, Top-5 1
Sample 10: [ 10  58  69 160 175], Top-1 1, Top-5 1
Sample 11: [11 54 60 38 47], Top-1 1, Top-5 1
Sample 12: [ 87  12 142 137  39], Top-1 0, Top-5 1
Sample 13: [ 13   4 193 105 170], Top-1 1, Top-5 1
Sample 14: [100 193 115  13 191], Top-1 0, Top-5 0
Sample 15: [ 15 158 114 143  32], Top-1 1, Top-5 1
Sample 16: [ 16  41  97 127   2], Top-1 1, Top-5 1
Sample 17: [175 185  17 200  69], Top-1 0, Top-5 1
Sample 18: [109 112  18  83 123], Top-1 0, Top-5 1
Sample 19: [ 19 124  94 107 159], Top-1 1, Top-5 1
Sample 20: [ 20   8  78 185 193], Top-1 1, Top-5 1
Sample 21: [21 66 30 16 94], Top-1 1, Top-5 1
Sample 22: [ 22 113  57 157  27], Top-1 1, Top-5 1
Sample 23: [ 23 139  16  49 180], Top-1 1, Top-5 1
Sample 24: [ 89 117  24  53 110], Top-1 0, Top-5 1
Sample 25: [ 25  31 100  39 166], Top-1 1, Top-5 1
Sample 26: [ 26 200  44   6 171], Top-1 1, Top-5 1
Sample 27: [163 113 184  22  48], Top-1 0, Top-5 0
Sample 28: [ 28 175  17 162   4], Top-1 1, Top-5 1
Sample 29: [ 29  32  55 163 123], Top-1 1, Top-5 1
Sample 30: [160  16 185  69  30], Top-1 0, Top-5 1
Sample 31: [ 31 166  56  83  84], Top-1 1, Top-5 1
Sample 32: [ 32  29 163  55 140], Top-1 1, Top-5 1
Sample 33: [137  33 142  12  87], Top-1 0, Top-5 1
Sample 34: [ 89  34 191  36 183], Top-1 0, Top-5 1
Sample 35: [ 35 181 200  77 116], Top-1 1, Top-5 1
Sample 36: [ 36 170   8  42 134], Top-1 1, Top-5 1
Sample 37: [ 45  52  37 118 176], Top-1 0, Top-5 1
Sample 38: [38 98 51 11 47], Top-1 1, Top-5 1
Sample 39: [ 39  87  12 142 133], Top-1 1, Top-5 1
Sample 40: [ 40  28 153 138  15], Top-1 1, Top-5 1
Sample 41: [ 41  78  42  62 170], Top-1 1, Top-5 1
Sample 42: [ 42 170  62   6  78], Top-1 1, Top-5 1
Sample 43: [158 131   7  99  43], Top-1 0, Top-5 1
Sample 44: [ 44 171  35 200  26], Top-1 1, Top-5 1
Sample 45: [ 45 176  52 128  96], Top-1 1, Top-5 1
Sample 46: [ 46 169  34 141 125], Top-1 1, Top-5 1
Sample 47: [ 47  73 122  98  38], Top-1 1, Top-5 1
Sample 48: [ 48  81 120 101  32], Top-1 1, Top-5 1
Sample 49: [ 49  23 185  67 187], Top-1 1, Top-5 1
Sample 50: [ 50 195  55  18  48], Top-1 1, Top-5 1
Sample 51: [ 51 166 143  98  47], Top-1 1, Top-5 1
Sample 52: [ 52 128 104 176  45], Top-1 1, Top-5 1
Sample 53: [117  89  86  53 183], Top-1 0, Top-5 1
Sample 54: [ 54 184  60  27  38], Top-1 1, Top-5 1
Sample 55: [ 55 163 123 135  29], Top-1 1, Top-5 1
Sample 56: [ 56  15  41  95 114], Top-1 1, Top-5 1
Sample 57: [ 57 195  50 159  22], Top-1 1, Top-5 1
Sample 58: [ 58 150   2  87  21], Top-1 1, Top-5 1
Sample 59: [ 59  75  76  17 154], Top-1 1, Top-5 1
Sample 60: [ 60  79 132  29 159], Top-1 1, Top-5 1
Sample 61: [109 122  61  18  64], Top-1 0, Top-5 1
Sample 62: [ 62  42 200 185  78], Top-1 1, Top-5 1
Sample 63: [63 76  6 86  8], Top-1 1, Top-5 1
Sample 64: [159  51  64 123  18], Top-1 0, Top-5 1
Sample 65: [ 65 158 196 112  62], Top-1 1, Top-5 1
Sample 66: [ 66  30   8 200  26], Top-1 1, Top-5 1
Sample 67: [ 67  49  20 173  93], Top-1 1, Top-5 1
Sample 68: [ 68 158 146  67 103], Top-1 1, Top-5 1
Sample 69: [ 69  10  58  97 160], Top-1 1, Top-5 1
Sample 70: [111  70 129  88 187], Top-1 0, Top-5 1
Sample 71: [ 71  73 200  54   8], Top-1 1, Top-5 1
Sample 72: [ 72 106   2  87 137], Top-1 1, Top-5 1
Sample 73: [ 73 200   8  78 145], Top-1 1, Top-5 1
Sample 74: [ 74 189  36  56 163], Top-1 1, Top-5 1
Sample 75: [ 75  59   1 154  79], Top-1 1, Top-5 1
Sample 76: [ 86 117 110  69  76], Top-1 0, Top-5 1
Sample 77: [ 77 181 160 194   3], Top-1 1, Top-5 1
Sample 78: [ 78   8  20  41 170], Top-1 1, Top-5 1
Sample 79: [ 79 181  60  98 130], Top-1 1, Top-5 1
Sample 80: [ 91 190 199  80 114], Top-1 0, Top-5 1
Sample 81: [120 163  48  81 113], Top-1 0, Top-5 1
Sample 82: [82 73 38 47 98], Top-1 1, Top-5 1
Sample 83: [ 83 104 115 107  99], Top-1 1, Top-5 1
Sample 84: [167  67 193  92  65], Top-1 0, Top-5 0
Sample 85: [ 85 188  56 114 165], Top-1 1, Top-5 1
Sample 86: [ 58 161 150  86  76], Top-1 0, Top-5 1
Sample 87: [ 87 142 129 106  88], Top-1 1, Top-5 1
Sample 88: [ 88 129 142 111  87], Top-1 1, Top-5 1
Sample 89: [150 136  86  97  72], Top-1 0, Top-5 0
Sample 90: [21 90 94 95 82], Top-1 0, Top-5 1
Sample 91: [ 51  91 113  57 195], Top-1 0, Top-5 1
Sample 92: [170  62 164 119  92], Top-1 0, Top-5 1
Sample 93: [ 93  77 188 185 181], Top-1 1, Top-5 1
Sample 94: [ 94 144 107  80  19], Top-1 1, Top-5 1
Sample 95: [ 95  94  74 117  41], Top-1 1, Top-5 1
Sample 96: [ 96 173  45  47  10], Top-1 1, Top-5 1
Sample 97: [ 69  97  86 111 154], Top-1 0, Top-5 1
Sample 98: [ 98 105 164  38  47], Top-1 1, Top-5 1
Sample 99: [ 99 102  43  15 193], Top-1 1, Top-5 1
Sample 100: [115 100 172 137  84], Top-1 0, Top-5 1
Sample 101: [101  81 125  48 120], Top-1 1, Top-5 1
Sample 102: [102 114 120  85 186], Top-1 1, Top-5 1
Sample 103: [ 67 103  49  68 121], Top-1 0, Top-5 1
Sample 104: [104 128  52  37 176], Top-1 1, Top-5 1
Sample 105: [105 171  44  16   3], Top-1 1, Top-5 1
Sample 106: [106  63  87 150 142], Top-1 1, Top-5 1
Sample 107: [ 94 155  90 192  95], Top-1 0, Top-5 0
Sample 108: [108  59 119  79  75], Top-1 1, Top-5 1
Sample 109: [109  18  29 147 122], Top-1 1, Top-5 1
Sample 110: [ 86 110  69  89  97], Top-1 0, Top-5 1
Sample 111: [ 88 111 161  87  70], Top-1 0, Top-5 1
Sample 112: [112 109 147  65 158], Top-1 1, Top-5 1
Sample 113: [113  55 132 163  22], Top-1 1, Top-5 1
Sample 114: [114  56  15 158  41], Top-1 1, Top-5 1
Sample 115: [115 100 172 193  84], Top-1 1, Top-5 1
Sample 116: [200 181  77 116  20], Top-1 0, Top-5 1
Sample 117: [117  89  53  86 110], Top-1 1, Top-5 1
Sample 118: [ 52 118  37 128 104], Top-1 0, Top-5 1
Sample 119: [119 139  49 192 191], Top-1 1, Top-5 1
Sample 120: [120 123  51 109  18], Top-1 1, Top-5 1
Sample 121: [121 116  40 178 181], Top-1 1, Top-5 1
Sample 122: [122  60 105  54 184], Top-1 1, Top-5 1
Sample 123: [123  55 163 120  18], Top-1 1, Top-5 1
Sample 124: [124  73 122  29 159], Top-1 1, Top-5 1
Sample 125: [125  57  27 101   8], Top-1 1, Top-5 1
Sample 126: [126 147 103 199   7], Top-1 1, Top-5 1
Sample 127: [127  58  21 150  30], Top-1 1, Top-5 1
Sample 128: [128 104  83  52  19], Top-1 1, Top-5 1
Sample 129: [ 88 129 142 137  87], Top-1 0, Top-5 1
Sample 130: [130  79 119  59 180], Top-1 1, Top-5 1
Sample 131: [131 103  68   7 158], Top-1 1, Top-5 1
Sample 132: [132  55 123 113  50], Top-1 1, Top-5 1
Sample 133: [ 39 133  87  12 152], Top-1 0, Top-5 1
Sample 134: [134 171 105 145  44], Top-1 1, Top-5 1
Sample 135: [135  55  57 113  18], Top-1 1, Top-5 1
Sample 136: [ 58 150 161  97  69], Top-1 0, Top-5 0
Sample 137: [137 142 106  87  33], Top-1 1, Top-5 1
Sample 138: [138 104  99 128 189], Top-1 1, Top-5 1
Sample 139: [139 141  20 170 185], Top-1 1, Top-5 1
Sample 140: [123 140  29  55  18], Top-1 0, Top-5 1
Sample 141: [ 51  91 143 141 174], Top-1 0, Top-5 1
Sample 142: [142  87 137 106  12], Top-1 1, Top-5 1
Sample 143: [169  55 163 135 174], Top-1 0, Top-5 0
Sample 144: [144  89 110  63 100], Top-1 1, Top-5 1
Sample 145: [145  44 185  20 105], Top-1 1, Top-5 1
Sample 146: [ 68 146  67 116  40], Top-1 0, Top-5 1
Sample 147: [147 114 158 143 155], Top-1 1, Top-5 1
Sample 148: [148 174  61 183  50], Top-1 1, Top-5 1
Sample 149: [  3 180  42 149  26], Top-1 0, Top-5 1
Sample 150: [ 58 150 161  63 152], Top-1 0, Top-5 1
Sample 151: [ 63 100  89 115  53], Top-1 0, Top-5 0
Sample 152: [152 197  94  86  90], Top-1 1, Top-5 1
Sample 153: [153 113 132  22 184], Top-1 1, Top-5 1
Sample 154: [154  75 175 161  69], Top-1 1, Top-5 1
Sample 155: [155 112 114  15 191], Top-1 1, Top-5 1
Sample 156: [156   3  11  23  22], Top-1 1, Top-5 1
Sample 157: [157 195  57  91 184], Top-1 1, Top-5 1
Sample 158: [158  65  78 189  83], Top-1 1, Top-5 1
Sample 159: [159  51 113  55  57], Top-1 1, Top-5 1
Sample 160: [160  77 181  69 173], Top-1 1, Top-5 1
Sample 161: [161  58  63 106 150], Top-1 1, Top-5 1
Sample 162: [162  28  85   7 158], Top-1 1, Top-5 1
Sample 163: [163  32 113  29  55], Top-1 1, Top-5 1
Sample 164: [164 105 171 167  77], Top-1 1, Top-5 1
Sample 165: [119  56 165 191  89], Top-1 0, Top-5 1
Sample 166: [166  31 119 169  25], Top-1 1, Top-5 1
Sample 167: [167   6 185  56  41], Top-1 1, Top-5 1
Sample 168: [155 168  94 107  19], Top-1 0, Top-5 1
Sample 169: [169  14 192 155 195], Top-1 1, Top-5 1
Sample 170: [170   8  20  44   3], Top-1 1, Top-5 1
Sample 171: [171  44 105   6  26], Top-1 1, Top-5 1
Sample 172: [172 115   8 121  40], Top-1 1, Top-5 1
Sample 173: [173 145  95 160 117], Top-1 1, Top-5 1
Sample 174: [113 174 195  50  22], Top-1 0, Top-5 1
Sample 175: [175 181  17 154  10], Top-1 1, Top-5 1
Sample 176: [176  45  96  52 128], Top-1 1, Top-5 1
Sample 177: [177  45  40 121  52], Top-1 1, Top-5 1
Sample 178: [ 41 178   3 134  78], Top-1 0, Top-5 1
Sample 179: [179 145 130 105  54], Top-1 1, Top-5 1
Sample 180: [180 119  79 130 139], Top-1 1, Top-5 1
Sample 181: [181  77  45 160 173], Top-1 1, Top-5 1
Sample 182: [182  99  74 189 193], Top-1 1, Top-5 1
Sample 183: [183  86 117 191 148], Top-1 1, Top-5 1
Sample 184: [184  54  60  29 132], Top-1 1, Top-5 1
Sample 185: [185 200  44  20  16], Top-1 1, Top-5 1
Sample 186: [186  85 114 102 158], Top-1 1, Top-5 1
Sample 187: [187  23 129  61 141], Top-1 1, Top-5 1
Sample 188: [188  23  49 167  13], Top-1 1, Top-5 1
Sample 189: [189 104  74 141 176], Top-1 1, Top-5 1
Sample 190: [ 88  87  70 111  12], Top-1 0, Top-5 0
Sample 191: [191 183  19  86 117], Top-1 1, Top-5 1
Sample 192: [192 119 102  55 191], Top-1 1, Top-5 1
Sample 193: [193  49 121   8  30], Top-1 1, Top-5 1
Sample 194: [194  28 153 184  60], Top-1 1, Top-5 1
Sample 195: [ 51 159 195  57 113], Top-1 0, Top-5 1
Sample 196: [196  95 154 158  76], Top-1 1, Top-5 1
Sample 197: [197 165  95 192  89], Top-1 1, Top-5 1
Sample 198: [181 198 116  35 187], Top-1 0, Top-5 1
Sample 199: [ 76 167 170 199  16], Top-1 0, Top-5 1
Sample 200: [200 185  44  26   3], Top-1 1, Top-5 1
